id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
AP1W6D3MA59/12_2184,"亞洲風味","Number of Calories: 1200, Meals: Full Day, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2208HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2208HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1200,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D4MA61/12_2185,"亞洲風味","Number of Calories: 1200, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",1938HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1938HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1200,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D2MA58/15_2186,"亞洲風味","Number of Calories: 1500, Meals: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2028HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2028HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1500,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D3MA61/15_2187,"亞洲風味","Number of Calories: 1500, Meals: Full Day, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2448HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2448HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1500,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D4MA59/15_2188,"亞洲風味","Number of Calories: 1500, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2208HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2208HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1500,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D2MA58/18_2189,"亞洲風味","Number of Calories: 1800, Meals: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2328HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2328HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1800,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D3MA59/18_2190,"亞洲風味","Number of Calories: 1800, Meals: Full Day, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2868HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2868HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1800,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP1W6D4MA61/18_2191,"亞洲風味","Number of Calories: 1800, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2628HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2628HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1800,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
AP2W5D2MA56/12_2192,"亞洲風味","Number of Calories: 1200, Meals: Breakfast & Lunch, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Lifestyle","Eatology",3030HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3030HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1200,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:2 weeks,days:5-days/6天:5 days"
AP2W5D3MA57/12_2193,"亞洲風味","Number of Calories: 1200, Meals: Full Day, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Lifestyle","Eatology",3680HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3680HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1200,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:2 weeks,days:5-days/6天:5 days"
